Department,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR M GRAHAM,"3,846.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,"3,856.08"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DANEBURY AVENUE SURGERY,"3,858.33"
Department of Health,NHS South West London CCG,31/07/2020,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,SUTTON NURSING HOMES LTD T/A ORCHARD HOUSE NURSING HOME,"3,870.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR E KATAY & PARTNERS,"3,885.79"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G S GOEL,"3,893.15"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR Z GHUFOOR & PARTNER,"3,901.12"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GROVES MEDICAL CENTRE,"3,906.21"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DRS CUTTING KHAN & SHEYIN,"3,912.50"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VINEYARD HILL ROAD SURGERY,"3,916.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,B HUDSON,"3,925.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"3,935.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR BOTTING & PARTNERS,"3,945.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CLAREMONT MEDICAL CENTRE SURBITON,"3,952.92"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"3,962.14"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROWANS SURGERY (THE),"3,978.71"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CRICKET GREEN MEDICAL PRACTICE,"4,007.62"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR A J FREE,"4,008.33"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR COLLINS & PARTNERS,"4,017.95"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,LUCKETT & PARTNERS,"4,025.64"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR WILCOCK & PARTNERS,"4,032.84"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,"4,037.64"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CRICKET GREEN MEDICAL PRACTICE,"4,041.06"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR PARVIN BHATIA,"4,041.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,LAMBTON ROAD MEDICAL PRACTICE,"4,075.17"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,STENT & PARTNERS,"4,079.94"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"4,081.08"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,DR PARAMESWARAN,"4,122.65"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HACKBRIDGE MEDICAL CENTRE,"4,141.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VINEYARD SURGERY,"4,166.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S E RAMSBOTHAM,"4,190.47"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BALHAM PARK SURGERY,"4,226.42"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M GRAHAM,"4,245.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LONDON ROAD MEDICAL PRACTICE,"4,246.01"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MAYFIELD SURGERY,"4,248.47"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR NORRIS,"4,250.59"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,STONECOT SURGERY,"4,256.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR NORRIS,"4,258.33"
Department of Health,NHS South West London CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,GROVES MEDICAL CENTRE,"4,259.65"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,THORNTON ROAD SURGERY,"4,266.58"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,HALING PARK PARTNERSHIP,"4,278.56"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,DANEBURY AVENUE SURGERY,"4,299.93"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,QUEENSTOWN ROAD MEDICAL PRACTICE,"4,318.01"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR AK SENNIK,"4,320.41"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,"4,334.71"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"4,338.13"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"4,345.42"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,EAST CROYDON MEDICAL CENTRE,"4,385.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,COUNTRY PARK PRACTICE,"4,411.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,THORNTON ROAD SURGERY,"4,418.50"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR NORRIS,"4,458.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VILLAGE SURGERY NEW MALDEN,"4,464.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,"4,472.10"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHILDS & PARTNERS,"4,477.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LAVENDER HILL GROUP PRACTICE,"4,477.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DRS CUTTING KHAN & SHEYIN,"4,488.33"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DRS CUTTING KHAN & SHEYIN,"4,494.01"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AUCKLAND SURGERY,"4,494.18"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR V P SHAH & PARTNERS,"4,495.18"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR M F JOHNSON & PARTNERS,"4,500.17"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"4,522.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"4,522.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,P L BOWEN,"4,530.28"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,EAST CROYDON MEDICAL CENTRE,"4,542.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR GARDINER & PARTNER,"4,557.51"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,HAIDER PRACTICE,"4,558.68"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A DITRI & PARTNERS,"4,560.99"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PRACTICE FURZEDOWN,"4,566.33"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,KUDRA AP,"4,577.64"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,GROVES MEDICAL CENTRE,"4,583.89"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,PATEL D & PARTNERS,"4,596.70"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,CHILDS & PARTNERS,"4,615.36"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,PORTLAND MEDICAL CENTRE,"4,639.78"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR G S GOEL,"4,647.92"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DRS CUTTING KHAN & SHEYIN,"4,648.17"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KUMAR & PARTNERS,"4,649.51"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JOHAL & PARTNERS,"4,680.41"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR V P SHAH & PARTNERS,"4,740.46"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARUCH & PARTNERS,"4,752.01"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR W H BARCLAY & PARTNERS,"4,770.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,JOHAL & PARTNERS,"4,788.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A OKONMAH & PARTNERS,"4,791.97"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,"4,797.33"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P P CHARLTON & PARTNERS,"4,812.57"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M SHIRAZ,"4,835.68"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ROBERTSON & PARTNERS,"4,863.60"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"4,873.56"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COUNTRY PARK PRACTICE,"4,882.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,J GRANNELL,"4,924.24"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,LONDON ROAD MEDICAL PRACTICE,"4,936.66"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LEANDER ROAD SURGERY,"4,942.35"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,SHIRLEY MEDICAL CENTRE,"4,952.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,PUTNEYMEAD GROUP MEDICAL PRACTICE,"4,968.17"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,K KO,"4,969.40"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,KUMAR & PARTNERS,"4,974.20"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR Z GHUFOOR & PARTNER,"5,031.25"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ST PAULS COTTAGE,"5,037.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"5,047.61"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ORCHARD PRACTICE,"5,048.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR R LALL,"5,069.55"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"5,075.42"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CLAREMONT MEDICAL CENTRE SURBITON,"5,077.45"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR T H TOOSY,"5,083.33"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHARTFIELD SURGERY,"5,133.33"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHANG & PARTNERS,"5,136.78"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,"5,143.25"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS CUTTING KHAN & SHEYIN,"5,162.29"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,DR R DABO,"5,216.16"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,ALTON PRACTICE (THE),"5,218.30"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A THURAIRATNAM,"5,245.87"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A J FREE,"5,254.38"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,"5,254.56"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR FREEMAN & PARTNERS,"5,256.17"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR FLOOD & PARTNERS,"5,269.38"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LANGLEY MEDICAL PRACTICE,"5,292.52"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,K KO,"5,293.14"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHIRLEY MEDICAL CENTRE,"5,304.99"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,T KEYAMO,"5,307.81"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AYUB & PARTNERS,"5,320.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"5,322.96"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CANBURY MEDICAL CENTRE,"5,326.42"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CARSHALTON FIELDS SURGERY,"5,339.56"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,AGRAWAL R K & K,"5,375.08"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JOHNSON & PARTNERS LONDON,"5,378.13"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR SIVATHASAN & PARTNERS,"5,383.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ELLIOTT GRICE & PARTNERS,"5,391.75"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,"5,412.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,CHILDS & PARTNERS,"5,416.67"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,HIGH COST DRUGS,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"5,418.30"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR P P CHARLTON & PARTNERS,"5,420.84"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,VINEYARD HILL ROAD SURGERY,"5,427.86"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,THORNTON ROAD SURGERY,"5,431.46"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST JAMES MEDICAL CENTRE CROYDON,"5,436.06"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,C J D PEACH,"5,460.86"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ROBERTSON & PARTNERS,"5,497.33"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,QUEENHILL MEDICAL PRACTICE,"5,521.22"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,"5,544.25"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,KINGSTON HEALTH CENTRE,"5,561.50"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEAM FAMILY PRACTICE,"5,600.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"5,620.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,"5,672.85"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,STENT & PARTNERS,"5,679.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,MALDON ROAD SURGERY,"5,733.75"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR I M WILSON,"5,741.16"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,M G DURHAM,"5,741.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TRINITY MEDICAL CENTRE LONDON,"5,742.45"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,KINGSTON HEALTH CENTRE,"5,759.50"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGSTON HEALTH CENTRE,"5,784.01"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,"5,822.38"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CENTRAL MEDICAL CENTRE,"5,854.56"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AYUB & PARTNERS,"5,867.13"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,"5,880.67"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CENTRAL MEDICAL CENTRE,"5,895.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,AUCKLAND SURGERY,"5,900.00"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,T KEYAMO,"5,928.12"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR B NAHA,"5,935.30"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR PUVINATHAN,"5,944.59"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR COLLINS & PARTNERS,"5,950.53"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,B HUDSON,"5,986.78"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ST JAMES MEDICAL CENTRE CROYDON,"5,990.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROBERTSON & PARTNERS,"5,992.14"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LAVENDER HILL GROUP PRACTICE,"6,004.37"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JAMES O`RIORDAN MEDICAL CENTRE(THE),"6,005.18"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,V M BEARN,"6,013.50"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,CLAREMONT MEDICAL CENTRE SURBITON,"6,053.95"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR N VAJPEYI,"6,056.74"
