Department Family,Entity,Date,Expsene Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,ROSENDALE SURGERY,32690100,9759.93
Department of Health,CCG,30/06/2020,C&M?GMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,BROOMWOOD ROAD SURGERY,32768039,9770.17
Department of Health,CCG,30/06/2020,C&M?GMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,BROOMWOOD ROAD SURGERY,32768039,9789
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,HURLEY CLINIC,32690161,9791.22
Department of Health,CCG,30/06/2020,C&M?GMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,CRAYFORD TOWN SURGERY,32806051,9800
Department of Health,CCG,30/06/2020,C&M?PMS PCO Other,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,9854
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,DR COCHRAN G O & PARTNERS,32690174,9868.25
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,ALL SAINTS MEDICAL CENTRE,32690163,9911.57
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,VESTA ROAD SURGERY,32666223,9919.48
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,NEXUS HEALTH GROUP,32690144,9940
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,MAWBEY GROUP PRACTICE,32690077,9962.54
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HURLEY CLINIC,32690161,9984.75
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,BROCKWELL PARK,32690015,9990.79
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,GARDENS SURGERY,32666205,10006.27
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,VALENTINE HEALTH PARTNERSHIP,32690209,10024
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,STERNHALL LANE SURGERY,32690109,10024.85
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,COLDHARBOURHILL PMS,32668624,10043.49
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,10053.3
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,LISTER HEALTH CENTRE DR ARUMUGARAASAH & RATNESWAREN,32690075,10060.17
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,MAWBEY GROUP PRACTICE,32690077,10064.4
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,HETHERINGTON GROUP PRACTICE,32666208,10077.08
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BELMONT HILL SURGERY,32666195,10092.3
Department of Health,CCG,30/06/2020,C&M?PMS Additional Staff Payments,PRC DELEGATED CO?COMMISSIONING,WOODLANDS PRACTICE,32768136,10095.24
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,WOODLAND SURGERY LONDON,32690215,10109.19
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CHADWICK ROAD,32666204,10125.44
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,VALE SURGERY,32666222,10155.86
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,NEW ELTHAM MC DR ARORA,32690224,10168.04
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CHADWICK ROAD,32666204,10187.5
Department of Health,CCG,30/06/2020,C&M?GMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,SUNDRIDGE MEDICAL CENTRE,32753684,10223.3
Department of Health,CCG,30/06/2020,C&M?GMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,VALLEY ROAD SURGERY LONDON,32820053,10225.79
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,CONCORDIA PARKSIDE,32690023,10250.51
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,CORNER SURGERY,32690025,10264.28
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,VANBRUGH GROUP PRACTICE,32690220,10288.71
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DOWNHAM FAMILY MEDICAL PRACTICE,32690031,10306.99
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,FOREST HILL GROUP PRACTICE,32690056,10353.67
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,VALE MEDICAL CENTRE,32666221,10376.06
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,STREATHAM PLACE,32690142,10386.61
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BURSTED WOOD SURGERY,32690173,10391.72
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BANNOCKBURN SURGERY,32690168,10454.32
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,ALBION SURGERY,32668619,10523.75
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,SPRINGFIELD MEDICAL CENTRE,32690107,10543.17
Department of Health,CCG,30/06/2020,Cont Care? Palliative Care,CHC ADULT FULLY FUNDED,BRITISH HOME & HOSPITAL,32582821,10569.34
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,HHR MEDICAL PRACTICE,32666209,10579.12
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,WHITEHOUSE SURGERY,32768129,10613.34
Department of Health,CCG,30/06/2020,C&M?GMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,SOUTH VIEW LODGE DR WILLATT HEATHCOTE,32768105,10640.82
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,WELLS PARK PRACTICE,32690134,10735.25
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,AMERSHAM VALE TRAINING PRACTICE,32690001,10769.34
Department of Health,CCG,30/06/2020,Cont Care? Palliative Care,CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC ONE LTD,32627035,10788
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,DR MOSTAFA M A,32690181,10800
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,TUDOR WAY SURGERY,32768128,10893.63
Department of Health,CCG,30/06/2020,C&M?GMS Other Addtl Staff Paymts,PRC DELEGATED CO?COMMISSIONING,LINKS MEDICAL PRACTICE (THE),32768092,10912.1
Department of Health,CCG,30/06/2020,Cont Care? Palliative Care,CHC ADULT FULLY FUNDED,BRITISH HOME & HOSPITAL,32778078,10921.65
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR GERA & PARTNER,32690177,10924.71
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,VILLA STREET MEDICAL CENTRE,32690125,10948.85
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,NOVUM HEALTH PARTNERSHIP,32666224,10958.33
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,GRANTHAM CENTRE,32666206,10975.73
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,TORRIDON ROAD MEDICAL PRACTICE,32690121,11039
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,DR CURRAN & PTNRS,32690037,11047.87
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,ST JOHNS MEDICAL CENTRE,32666220,11052.95
Department of Health,CCG,30/06/2020,C&M?GMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,KNIGHTS HILL SURGERY,32807151,11076.88
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,PARK MEDICAL CENTRE LONDON,32690090,11081.19
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,DR BRADFORD & PARTNERS,32690033,11088.77
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,HILLY FIELDS MEDICAL CENTRE,32690064,11135.4
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BLACKFRIARS MEDICAL PRACTICE,32690010,11137.15
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,DR MCINTYRE & PARTNERS,32690180,11143.46
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR SHARMA & PARTNERS ERITH,32690187,11210.25
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,COLDHARBOURHILL PMS,32668624,11215.46
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CHADWICK ROAD,32666204,11227.32
Department of Health,CCG,30/06/2020,C&M?GMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DERRY DOWNS SURGERY,32768062,11233.26
Department of Health,CCG,30/06/2020,Cont Care?Physical Disab (65+),CHC ADULT FULLY FUNDED,ROYAL HOSPITAL FOR NEURO DISABILITY,32582816,11238.39
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,NEW MILL STREET SURGERY,32666212,11238.5
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BINFIELD ROAD SURGERY,32666196,11250.95
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD HEALTHCARE CENTRE,32690221,11299.73
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,BARNARD PRACTICE,32668617,11350.05
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,FAMILY SURGERY ORPINGTON,32768075,11387.35
Department of Health,CCG,30/06/2020,C&M?GMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,WICKHAM PARK SURGERY,32753689,11391.98
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,VILLA STREET MEDICAL CENTRE,32690125,11432.49
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,TUDOR WAY SURGERY,32768128,11435.5
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,MAWBEY GROUP PRACTICE,32690077,11450.64
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BECKETT HOUSE PRACTICE,32689996,11455.61
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,BLACKFRIARS MEDICAL PRACTICE,32690010,11474.87
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,NEXUS HEALTH GROUP,32690144,11477.53
Department of Health,CCG,30/06/2020,Cont Care?Physical Disab (<65),ADULT JOINT FUNDED CONTINUING CARE,ROYAL HOSPITAL FOR NEURO DISABILITY,32915483,11526.55
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,LAMBETH WALK GROUP PRACTICE,32690073,11526.59
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,ELM LODGE SURGERY,32666203,11527.21
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,GARDENS SURGERY,32666205,11540.16
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,GRAFTON SQUARE SURGERY,32820065,11569.75
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,EXCHANGE SURGERY,32690047,11587.29
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,ALBION SURGERY,32668619,11589.54
Department of Health,CCG,30/06/2020,C&M?PMS Additional Staff Payments,PRC DELEGATED CO?COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,32768047,11658.74
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CRYSTAL PALACE,32690053,11694.44
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Clinical Director,PRC DELEGATED CO?COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,32690159,11713.91
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,M THAVAPALAN & PARTNERS,32690189,11726.94
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,DR PATEL & PARTNERS,32666202,11731.21
Department of Health,CCG,30/06/2020,C&M?APMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,AT MEDICS LTD,32690146,11764.12
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,ELTHAM PALACE SURGERY,32690192,11797.95
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,INGELTON AVENUE,32820089,11810.18
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR PATEL & PARTNERS,32666202,11810.86
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,KNOLL MEDICAL PRACTICE,32753673,11816.88
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690153,11832.43
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,LAKESIDE MEDICAL,32690196,11842.57
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,VASSALL MEDICAL CENTRE,32690129,11869.17
Department of Health,CCG,30/06/2020,C&M?PMS PCO Other,PRC DELEGATED CO?COMMISSIONING,PAXTON GREEN PRACTICE,32666216,11881
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,WOOLSTONE MEDICAL CENTRE,32690140,11910
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,PENROSE LEE SURGERY,32690093,11970.58
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,BRIXTON HILL GROUP PRACTICE,32690013,11991.41
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,STREATHAM COMMON GROUP PRACTICE,32690112,12011.74
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR SK PATEL & PARTNERS,32690188,12050.7
Department of Health,CCG,30/06/2020,C&M?PMS Prem Healthcentre Rent,PRC DELEGATED CO?COMMISSIONING,DR BHADRA & DR PADIYAR PARTNERS TA RIVERSIDE SURGERY,32690222,12051
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR MASTERTON & PARTNERS,32674505,12084.73
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,12099.49
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BROCKWELL PARK,32690015,12123.8
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,ELM LODGE SURGERY,32666203,12211.21
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DEPTFORD MEDICAL CENTRE,32807138,12240.37
Department of Health,CCG,30/06/2020,C&M?GMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,PARKVIEW SURGERY LONDON,32820036,12294.81
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,ST JAMES PRACTICE,32768123,12313.51
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,32768047,12324.26
Department of Health,CCG,30/06/2020,C&M?PMS Additional Staff Payments,PRC DELEGATED CO?COMMISSIONING,ELM HOUSE SURGERY,32768068,12354.48
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,GREENWICH PENINSULA,32690218,12356.08
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,PICKHURST SURGERY,32753676,12435.54
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR BRADFORD & PARTNERS,32690033,12445.7
Department of Health,CCG,30/06/2020,Cont Care?Physical Disab (65+),CHC ADULT FULLY FUNDED,BRIGHTERKIND,32898127,12449.25
Department of Health,CCG,30/06/2020,C&M?GMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,FORGE CLOSE SURGERY,32768083,12464.41
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,SOUTHBROUGH LANE SURGERY,32768110,12501.02
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,12530.33
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR MOSTAFA M A,32690181,12705.35
Department of Health,CCG,30/06/2020,C&M?GMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR BR JACOBS,32820015,12751.78
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,GREEN ST GREEN MEDICAL CENTRE,32768086,12811.9
Department of Health,CCG,30/06/2020,C&M?PCN DES Support Payment,PRC DELEGATED CO?COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,32690159,12838.26
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,TUDOR WAY SURGERY,32768128,12880.91
Department of Health,CCG,30/06/2020,C&M?PMS PCO Other,PRC DELEGATED CO?COMMISSIONING,CLAPHAM FAMILY PRACTICE,32666198,12926
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,PICKHURST SURGERY,32753676,12999.81
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,BELVEDERE MEDICAL CENTRE,32690166,13057.72
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,NEXUS HEALTH GROUP,32690144,13116.75
Department of Health,CCG,30/06/2020,C&M?PMS DES Minor Surgery,PRC DELEGATED CO?COMMISSIONING,GRANTHAM CENTRE,32666206,13173.84
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,OAKFIELD SURGERY LONDON,32768146,13218.68
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,VASSALL MEDICAL CENTRE,32690129,13218.75
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CRYSTAL PALACE,32690053,13314.24
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,ERINGTON AT THE PAVILION,32690050,13343.63
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,ST MARY CRAY PRACTICE,32768125,13465.48
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,TRIVENI PMS,32690208,13502.88
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,STREATHAM HILL GROUP PRACTICE,32690116,13505.45
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,HILLY FIELDS MEDICAL CENTRE,32690064,13509.92
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,VAUXHALL SURGERY,32690131,13511.37
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690155,13542.55
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,PARK GROUP PRACTICE,32768144,13570.21
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,ALL SAINTS MEDICAL CENTRE,32690163,13608.74
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,SOUTH LAMBETH ROAD PRACTICE,32666218,13638.74
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,BINFIELD ROAD SURGERY,32666196,13656.02
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,SYDENHAM GREEN GROUP PRACTICE,32690119,13664.05
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DEERBROOK SURGERY,32666201,13668.75
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DR J BAJWA & PARTNERS,32668628,13671.2
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DOWNHAM FAMILY MEDICAL PRACTICE,32690031,13680.72
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,NIGHTINGALE SURGERY LONDON,32666213,13722.81
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,PALACE ROAD SURGERY,32666215,13735.44
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,DR MASTERTON & PARTNERS,32674505,13764.34
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DR PLANA F & PARTNER,32690186,13773.19
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,BEXLEY MEDICAL GROUP,32690172,13774.78
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,ROBIN HOOD SURGERY,32753678,13867.51
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,GRANTHAM CENTRE,32666206,13903.59
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,PENROSE SURGERY,32666217,13920.81
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,WATERLOO HEALTH CENTRE,32690136,13944.03
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,WOOLSTONE MEDICAL CENTRE,32690140,13948.99
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DR SK PATEL & PARTNERS,32690188,13965.11
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,ST MARKS MEDICAL CENTRE,32690205,13985.74
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,ABBEY WOOD SURGERY,32690167,14042.14
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,WOODLAND SURGERY LONDON,32690215,14101.4
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,IVEAGH SURGERY,32690066,14108.3
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,WATERLOO HEALTH CENTRE,32690136,14216.67
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,BANNOCKBURN SURGERY,32690168,14229.49
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR RATNESWAREN N,32690183,14243.65
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DR VIRJI & BEGLEY,32690043,14244.01
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,VASSALL MEDICAL CENTRE,32690129,14255.54
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DERRY DOWNS SURGERY,32768062,14260.17
Department of Health,CCG,30/06/2020,C&M?PMS Funding Differential Review,PRC DELEGATED CO?COMMISSIONING,OLD KENT ROAD SURGERY,32690084,14311.84
