Department Family,Entity,Expense Type,Expense Area,Supplier,Amount
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,,,35235880
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,,,35235880
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,,,35235880
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,,,35235880
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS DES Extended Hours Access,,,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Other FDR Payment,,,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES Clinical Director,,,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BURSTED WOOD SURGERY,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES Participation,,,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Prem Rates,,,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Voluntary Levy,,,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,,,35235881
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,,,35235881
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,,,35235881
Department of Health,NHS South East London CCG31/01/2021,C&M- PCN DES CARE HOME PREMIUM,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Contract Value,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS DES Extended Hours Access,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Other Addtl Staff Paymts,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Other FDR Payment,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES Clin Pharmacist,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES Clinical Director,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BURSTED WOOD SURGERY,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES Participation,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS PCN DES Soc Prescribing,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Prem Notional Rent,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-APMS Prem Rates,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,,,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BURSTED WOOD SURGERY,35235882
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235882,747.16
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235882,"3,463.89"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235884,"4,611.83"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235884,"107,985.36"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35235884,"5,458.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235884,"9,942.01"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35235884,"2,706.78"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35235884,"5,639.13"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235884,"4,299.82"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235884,"4,137.19"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235884,"19,157.29"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235884,"6,027.62"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235886,"1,337.73"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235886,"31,733.71"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235886,"2,792.10"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235886,"1,187.19"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,35235886,31.25
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,35235886,654.31
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,35235886,"8,326.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35235886,23.56
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235886,"1,623.40"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235888,"2,144.92"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235888,"50,669.71"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235888,"4,511.02"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235888,"1,950.86"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235888,"7,679.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235888,"3,641.59"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235890,"1,503.02"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235890,"35,957.52"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235890,"3,137.12"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235890,"1,334.48"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235890,"2,161.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235890,"2,553.92"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235892,"1,456.10"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235892,"33,776.17"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235892,"3,085.10"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235892,"1,341.20"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235892,"2,291.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235892,998
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235892,"2,700.98"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235895,"2,084.60"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235895,"48,844.94"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235895,"4,451.08"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235895,"1,939.45"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35235895,"3,600.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235895,"3,600.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235895,"1,074.03"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235895,"4,235.12"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235898,"1,477.57"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235898,"34,657.24"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235898,"3,153.71"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235898,"1,374.15"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235898,"3,547.75"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235898,"2,254.31"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235898,"2,721.47"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235901,"2,734.03"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235901,"65,049.46"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235901,"6,821.51"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235901,"2,442.18"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35235901,"4,191.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235901,"7,250.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235901,"3,736.76"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235903,"2,136.75"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235903,"50,314.79"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235903,"4,459.84"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235903,"1,918.13"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235903,"6,675.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235903,"2,602.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235903,"4,016.89"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235905,"8,112.93"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235905,"189,102.42"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235905,"17,099.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235905,"6,203.70"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35235905,"3,158.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235905,"4,510.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235905,"2,418.68"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235905,"16,699.24"
Department of Health,NHS South East London CCG31/01/2021,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,35235905,"19,947.83"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35235905,"7,325.28"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35235905,"6,486.57"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,35235905,"19,066.10"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35235906,"-15,700.36"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35235906,-312
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35235906,"-7,817.70"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35235906,"-16,241.76"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235906,-882.28
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35235906,-14.52
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35235906,"-1,875.00"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35235906,"-2,157.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235908,"3,544.37"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235908,"83,379.94"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235908,"7,434.01"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235908,"3,225.62"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235908,"21,437.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235908,"6,316.11"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235909,-223.73
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35235909,-914.13
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235909,"-2,167.85"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35235909,-44.7
Department of Health,NHS South East London CCG31/01/2021,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,35235909,"-30,973.33"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35235909,"-2,803.77"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35235909,"-3,041.21"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,35235909,"-29,444.47"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235910,"4,703.06"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235910,"110,030.90"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235910,"11,896.43"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235910,"4,339.40"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235910,"9,920.85"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235912,"3,229.35"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235912,"76,306.64"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235912,"8,058.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235912,"2,902.45"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235912,"7,262.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235912,"1,729.08"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35235912,91.23
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235912,"8,224.16"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235914,"4,091.21"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235914,"95,713.79"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235914,"8,684.26"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235914,"3,783.94"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35235914,"14,817.64"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235914,"3,657.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235914,"7,758.23"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35235915,"-4,573.66"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235915,-133.72
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35235915,-670.97
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35235915,"-2,277.37"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35235915,"-4,731.38"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235915,"-1,869.01"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35235915,-31.23
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35235915,"-9,751.68"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35235915,"-9,730.48"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235917,"6,355.52"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235917,"149,017.11"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235917,"15,813.98"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235917,"4,737.56"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35235917,"7,540.17"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235917,"6,161.83"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235917,"3,441.02"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235917,"11,541.19"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235919,"2,970.14"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235919,"70,144.09"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235919,"7,426.88"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235919,"2,709.79"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235919,"4,708.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235919,"1,704.92"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235919,"6,150.58"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235921,"2,875.52"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235921,"67,941.40"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235921,"6,001.78"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235921,"2,599.05"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35235921,"1,791.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235921,"7,833.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235921,"1,971.59"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235921,"5,354.76"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35235923,"4,775.90"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35235923,"112,489.29"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235923,"10,107.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235923,"4,380.45"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,35235923,125.92
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,35235923,"1,736.38"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,35235923,"7,355.68"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35235923,"5,233.34"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35235923,"2,453.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35235923,237.18
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35235923,"9,457.10"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35235924,"-3,667.29"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35235924,-133.74
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35235924,-433.75
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35235924,"-1,826.06"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35235924,"-3,793.75"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35235924,"-1,146.46"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35235924,-20.19
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35235924,"-3,380.44"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35235924,"-3,755.42"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35235924,"-7,471.42"
