Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33531079,"194,297.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,Recharge : Received,PROGRAMME PROJECTS,NHS BRENT CCG,33555548,"217,434.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Independent Sector,NHS 111,LONDON CENTRAL & WEST UNSCHEDULED CARE,33536054,"230,833.73"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33531018,"242,729.31"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Independent Sector,NHS 111,LONDON CENTRAL & WEST UNSCHEDULED CARE,33536025,"257,543.04"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486216,"291,314.06"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Commercial Sector,NHS 111,CARE UK (URGENT CARE) LTD,33536014,"415,785.43"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HOUNSLOW CONSORTIUM LTD,33536021,"510,685.13"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33531074,"547,825.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33531061,"1,000,958.54"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ASHFORD & ST PETERS HOSPITALS NHSFT,33509301,"1,148,081.06"
Department of Health,NHS Hounslow CCG,,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,WEST LONDON NHS TRUST,,"2,542,660.87"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS,33531025,"2,859,408.33"
Department of Health,NHS Hounslow CCG,,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,,"3,188,720.61"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,33530924,"11,282,743.48"
