Department,CCG,Date,Expense Type,Expsense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,,34832454,"215,886.30"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,,34832458,"221,140.68"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,,35068232,"272,798.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,,34832463,"292,760.10"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34862647,"440,952.61"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,,34832469,"612,941.45"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Programme Support Costs,QUALITY PREMIUM PROGRAMME,,35001681,"652,000.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,,34832459,"1,497,382.81"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Othe Public Sector,COMMISSIONING RESERVE,,34899969,"4,590,710.50"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34832455,"13,479,643.59"
