Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount,Description,Supplier Postcode
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"4,256.00",RANDR,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,195.93,RAMW,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"4,272.89",QUASPG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"5,272.67",PRYERG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,558,PENEEG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,862.8,PENERG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"3,438.00",PRYEEG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SHAH & SHAH,33233418,997.22,DRGP,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,"33,824.13",GSUMG,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,"1,811.83",ZADSPG,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,647.32,PARTIG,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,634.2,CQCRG,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,"2,942.83",NRENT,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,"1,039.58",RANDR,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,32.24,DRGPPF,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,33233418,"2,469.67",QUASPG,RM108EJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,U A AFSER & AKM ARIF,33233420,"33,659.91",GSUMG,RM8 2AJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,U A AFSER & AKM ARIF,33233420,655.3,PARTIG,RM8 2AJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,U A AFSER & AKM ARIF,33233420,"1,900.00",NRENT,RM8 2AJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,U A AFSER & AKM ARIF,33233420,"2,697.42",QUASPG,RM8 2AJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GABLES SURGERY,33233423,13.97,DRGP,RM8 2LD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,33233423,"51,450.25",GSUMG,RM8 2LD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,33233423,993.78,PARTIG,RM8 2LD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,33233423,"4,566.33",RANDR,RM8 2LD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,33233423,4.61,DRGPPF,RM8 2LD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,33233423,"4,067.66",QUASPG,RM8 2LD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Non Contract,NON RECURRENT PROGRAMMES,LONDON AMBULANCE SERVICE NHS TRUST,33237999,"64,551.00",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/3d7e4eff-4020-5d11-833c-3f675e1c2df2,BB3 0FG
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Social Care-Res Long Stay Exp,COMMISSIONING - NON ACUTE,LONDON BOROUGH OF BARKING & DAGENHAM,33238001,"1,227,598.00",,IG11 8HE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Non Contract,NON RECURRENT PROGRAMMES,LONDON AMBULANCE SERVICE NHS TRUST,33238019,"-64,551.00",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/7f17e049-7288-5e86-be0f-fc8c3ddfccc8,BB3 0FG
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,33249016,"4,005.75",EXTHDG,RM6 5LL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,33249016,"36,522.11",GSUMG,RM6 5LL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,33249016,"8,376.98",INVIMG,RM6 5LL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,33249016,"1,994.59",CLINDG,RM6 5LL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR K KASHYAP & PARTNERS,33249016,"4,143.88",PCNSUG,RM6 5LL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,33249016,710.47,PARTIG,RM6 5LL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,33249016,"2,644.59",QUASPG,RM6 5LL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"5,013.86",EXTHDG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"46,882.79",GSUMG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"10,184.15",INVIMG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"5,186.75",CLINDG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,M GOYAL,33249017,"5,186.75",PCNSUG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,907.3,PARTIG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"15,990.42",RENT,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,185.15,WASTE,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"1,219.62",RANDR,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,37.1,RAMW,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"3,787.03",QUASPG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,86.2,PRYERG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"11,807.08",SUPCEE,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,"9,353.04",SUPCER,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,M GOYAL,33249017,81,PRYEEG,RM109RR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"3,892.65",EXTHDG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"31,914.26",GSUMG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"7,869.33",INVIMG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"10,296.48",CPHARG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"1,938.27",CLINDG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,N NIRANJAN,33249018,"4,026.88",PCNSUG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,614.75,PARTIG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"2,949.00",SPRESG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"3,333.00",CQCRG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"1,442.52",RANDR,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,33249018,"2,058.31",QUASPG,IG118GD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"5,569.81",EXTHDG,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"39,943.18",GSUMG,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"11,977.08",INVIMG,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"2,773.38",CLINDG,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,VALENCE MEDICAL CENTRE,33249019,"5,761.88",PCNSUG,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"8,528.25",SPRESG,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"4,479.17",NRENT,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"9,045.16",RANDR,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33249019,"2,571.82",QUASPG,RN8 3HR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS CCG-Non Contract,NCAS/OATS,NHS REDBRIDGE CCG,33259801,"70,234.00",Misc Rev-Oth Op Rev NHS NonContract 44849040,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS CCG-Non Contract,NCAS/OATS,NHS REDBRIDGE CCG,33259809,"78,007.00",Misc Rev-Oth Op Rev NHS NonContract 44849040,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS REDBRIDGE CCG,33259812,"76,333.84",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS REDBRIDGE CCG,33259812,"92,807.18",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Contract & Agency-Agency Nursing,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS REDBRIDGE CCG,33259812,"12,484.33",CONTRACT & AGENCY-AGENCY A & C. 51171010,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,33339431,"31,167.64",Top Up for PO 628001349,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,33339431,"6,233.53",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/423ec685-049f-5e84-8878-825c5d702246,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,CORPORATE COSTS & SERVICES,NHS HAVERING CCG,33377707,"3,700.19",Basic Sal-Rechgs to-from Other NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,OPERATIONS MANAGEMENT,NHS HAVERING CCG,33377707,"16,236.51",Basic Sal-Rechgs to-from Other NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,Service Planning & Reform,NHS HAVERING CCG,33377707,"22,281.23",Basic Sal-Rechgs to-from Other NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,CEO/ BOARD OFFICE,NHS REDBRIDGE CCG,33377714,"65,436.27",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,CHAIR AND NON EXECS,NHS REDBRIDGE CCG,33377714,"4,134.46",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,CORPORATE COSTS & SERVICES,NHS REDBRIDGE CCG,33377714,"67,502.65",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,FINANCE,NHS REDBRIDGE CCG,33377714,"80,218.40",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,IM&T,NHS REDBRIDGE CCG,33377714,"23,925.08",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,MEDICINES MANAGEMENT - CLINICAL,NHS REDBRIDGE CCG,33377714,"58,067.35",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,NURSING DIRECTORATE,NHS REDBRIDGE CCG,33377714,"5,423.38",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,OPERATIONS MANAGEMENT,NHS REDBRIDGE CCG,33377714,"12,749.19",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,PRIMARY CARE IT,NHS REDBRIDGE CCG,33377714,"81,447.09",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,SAFEGUARDING,NHS REDBRIDGE CCG,33377714,"49,679.63",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Basic Sal-Rechgs to-from Other NHS,Service Planning & Reform,NHS REDBRIDGE CCG,33377714,"74,740.14",BASIC SAL-RECHGS TO-FROM OTHER NHS 51111091,WF3 1WE
