Department,CCG,Date,Expense Type,Exepense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,34614652,"3,030.71"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"3,074.52"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,34614554,"3,123.66"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,34614619,"3,149.04"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,34614607,"3,190.82"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,34614664,"3,193.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"3,195.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,34614615,"3,210.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"3,224.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"3,231.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JW KEEN,34614584,"3,296.23"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,34614631,"3,307.24"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CORFTON ROAD SURGERY,34614550,"3,334.48"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,34614644,"3,387.43"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,34516357,"3,416.87"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,34614545,"3,442.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,34614672,"3,463.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,34614573,"3,466.31"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,34614657,"3,511.39"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,34614567,"3,532.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,34614550,"3,580.17"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,34614580,"3,600.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,34516359,"3,655.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,34516355,"3,662.40"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,34614638,"3,664.09"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,34614595,"3,694.47"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34722991,"3,700.36"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,JUBILEE GARDENS MEDICAL CENTRE,34614648,"3,736.38"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,34614575,"3,817.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,34614578,"3,937.78"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SHC VALENTINE,34614615,"3,998.39"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,34516357,"4,009.39"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,34614613,"4,015.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516363,"4,033.29"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"4,159.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AD LEWIS,34614554,"4,177.27"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"4,189.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,34614617,"4,197.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR R SHAH,34614601,"4,199.62"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,34614584,"4,204.17"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,34614582,"4,279.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,34614617,"4,280.35"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR HM QADAN,34614575,"4,326.95"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,34516349,"4,344.42"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,34614638,"4,353.18"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,34614631,"4,397.98"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,34614586,"4,411.17"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HEALTH PROMOTION CENTRE,34614644,"4,424.89"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR M ALZARRAD,34616749,"4,430.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,34614563,"4,431.01"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,34614650,"4,455.96"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,34614633,"4,457.75"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,34614666,"4,478.57"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,34614548,"4,487.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,34614575,"4,491.17"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614611,"4,553.47"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR DA JENKINS,34614563,"4,582.81"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,"4,591.44"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SK GILL,34614617,"4,593.93"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,34614573,"4,597.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,WESTSEVEN GP,34614666,"4,633.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,34614636,"4,696.42"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,"4,701.68"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614611,"4,732.92"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516353,"4,767.91"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,34614613,"4,781.53"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,34614642,"4,785.66"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,34516351,"4,815.64"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,34614558,"4,825.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,34614586,"4,827.03"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,34614563,"4,833.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,34614545,"4,839.09"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR PERINPANAYAGAM & PARTNERS,34614611,"4,896.13"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516365,"4,914.40"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"4,942.95"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,34614642,"4,958.20"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,34614597,"4,960.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,34614627,"5,054.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,34614558,"5,131.39"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,34614567,"5,158.71"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR E M ROBINSKA,34614569,"5,216.70"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,34516351,"5,328.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,34614633,"5,349.43"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,34614560,"5,354.82"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,34614605,"5,462.15"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,34614601,"5,606.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HILLCREST SURGERY LONDON,34614642,"5,610.82"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,34614648,"5,616.84"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,34614601,"5,629.48"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ELMBANK SURGERY,34614631,"5,712.75"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,OLDFIELD FAMILY PRACTICE,34614672,"5,728.88"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HAMMOND ROAD PRACTICE,34614664,"5,753.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RK BHATT,34614609,"5,787.85"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,34516351,"5,833.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,34614552,"6,170.95"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"6,174.58"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"6,300.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,34614554,"6,325.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR DCM EVANS & PARTNERS,34614565,"6,387.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,"6,402.70"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,34614607,"6,408.15"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"6,424.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,34614654,"6,433.38"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR N ASGHAR,34614595,"6,452.54"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,34614607,"6,458.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,34614607,"6,611.45"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR RJ SALUJA,34614607,"6,629.13"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR R DASOJU & PARTNERS,34614613,"6,659.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JS SANGHERA,34614582,"6,686.99"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614611,"6,692.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,34614582,"6,706.63"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"6,710.69"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,"6,817.73"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,34614597,"6,872.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,34614578,"6,987.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,34614591,"7,230.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,34614638,"7,358.63"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516363,"7,385.66"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,34614571,"7,392.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,34614595,"7,419.65"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,GORDON HOUSE SURGERY,34614638,"7,612.38"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR N ASGHAR,34614595,"7,675.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,"7,758.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,34516355,"7,771.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,34614601,"7,865.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"8,165.13"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AK SANDHU,34614560,"8,168.72"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR G SIVARAJAH,34614578,"8,216.26"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"8,413.63"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,34516355,"8,462.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR S RADHAKRISHNAN,34614623,"8,597.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR RK BHATT,34614609,"8,703.75"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516365,"8,783.69"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,34614638,"8,784.42"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,34614642,"9,611.08"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,34614560,"9,750.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,34614625,"9,779.17"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,34614597,"9,885.56"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MWH PRACTICE,34614654,"9,915.58"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HILLCREST SURGERY LONDON,34614642,"9,942.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ARGYLE SURGERY,34614545,"10,228.64"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR M ALZARRAD,34616749,"10,249.39"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,"10,314.87"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,34614627,"10,402.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS LES Caretaking Payments,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,"10,415.49"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"10,502.64"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR N CROWLEY,34614597,"11,211.29"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,34614615,"12,142.34"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,"12,153.52"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,34614666,"12,698.40"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,34614582,"13,054.17"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,"13,567.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,34614648,"13,568.79"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR S RADHAKRISHNAN,34614623,"13,937.66"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,"14,442.17"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M ALZARRAD,34616749,"14,625.88"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516363,"20,016.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,34614588,"20,716.10"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,"20,812.55"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR L DAS,34614593,"21,633.95"
