Department,,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,"71,606.94"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,"3,190.82"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR RJ SALUJA,33908419,"6,629.13"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,"1,378.37"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,"6,458.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,785.83
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,"6,611.45"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RK BHATT,33908421,853.04
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,"8,413.63"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,"1,120.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,475.42
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,"46,350.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,"4,189.41"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR RK BHATT,33908421,"8,703.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,891.24
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,"4,942.95"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,"1,445.02"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,48.36
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,"4,159.83"
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,617.08
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,33908421,146.64
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33908422,"-3,665.03"
Department of Health,NHS Ealing CCG,30-Sep-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33908422,"-1,356.32"
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33908422,"-17,042.02"
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33908422,"-17,259.85"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR R DASOJU & PARTNERS,33908424,82.63
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,700
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,"46,160.77"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,898.32
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,"4,015.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,"2,389.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,343.45
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,34.55
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,33908424,"4,781.53"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,264.12
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,"23,684.06"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,428.25
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,"7,120.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,"2,406.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,"6,163.56"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,33908426,"1,931.82"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SS GORAYA,33908429,66.12
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,"1,120.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,"30,946.54"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,583.76
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,"2,075.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,"1,056.41"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,44.7
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,32.24
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,33908429,"3,149.04"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,980
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,469.55
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,"71,079.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,"6,098.91"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,"1,343.78"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,"13,567.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,"7,758.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,33908431,"6,817.73"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,33908433,308.14
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,33908433,"22,220.29"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,33908433,418.33
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,33908433,"4,750.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,33908433,"2,965.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,33908433,"1,736.73"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,"2,415.74"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,"41,874.73"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,779.02
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,"3,706.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,"10,402.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,"5,054.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,"1,622.93"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,33908435,"2,616.15"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR VB BHATT,33908437,892.06
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,33908437,410.86
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,33908437,"32,864.54"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,33908437,607.71
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,33908437,"1,450.83"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,33908437,43.76
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,33908437,"2,742.35"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ELMBANK SURGERY,33908439,"1,071.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,33908439,840
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,33908439,"9,068.12"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,33908439,"33,357.48"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,33908439,642.37
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,33908439,"1,616.67"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,33908439,142.79
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,33908439,"3,307.24"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EALING PARK HEALTH CENTRE,33908441,497.79
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,"2,742.57"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,"64,346.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,"1,231.26"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,"5,178.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,"29,168.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,"1,507.40"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,76.01
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,33908441,"5,349.43"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GOODCARE PRACTICE,33908444,79.52
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,33908444,"3,500.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,33908444,"2,714.57"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,33908444,"54,082.80"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,33908444,"1,024.60"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,33908444,78.3
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,33908444,"4,696.42"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GORDON HOUSE SURGERY,33908446,"1,107.04"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,"7,358.63"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,"2,520.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,"4,812.85"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,"93,710.13"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,"3,664.09"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,GORDON HOUSE SURGERY,33908446,"7,612.38"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,"1,810.30"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,76.01
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,33908446,"8,784.42"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HILLCREST SURGERY LONDON,33908448,"1,079.85"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,"9,611.08"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,560
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,"4,331.28"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,"61,989.26"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,"4,785.66"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HILLCREST SURGERY LONDON,33908448,"9,942.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,"1,216.18"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,"2,730.67"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,59.88
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,33908448,"4,958.20"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,33908450,"2,466.43"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,33908450,"30,309.34"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,33908450,594.1
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,33908450,"2,150.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,33908450,817.53
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,33908450,"3,387.43"
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,33908450,33.53
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,33908452,"1,540.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,33908452,"32,581.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,33908452,615.56
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,33908452,"2,389.58"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,33908452,"5,738.48"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,33908452,"2,824.20"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,JUBILEE GARDENS MEDICAL CENTRE,33908454,243.2
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,"1,232.56"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,"48,457.59"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,928.27
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,324
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,6.02
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,"7,375.12"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,"81,412.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,304.55
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,69.09
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,33908454,"5,616.84"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,KS MEDICAL CENTRE,33908456,"3,226.93"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,33908456,"2,274.37"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,33908456,"41,934.12"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,33908456,806.9
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,33908456,"3,029.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,33908456,133.58
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,33908456,"4,455.96"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MANDEVILLE MEDICAL CENTRE,33908458,44.1
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,33908458,140
