Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Type,Amount
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,"5,063.42"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286716,"-2,010.35"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286716,"-8,829.17"
Department of Health,NHS Brent CCG,31/10/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286716,"-6,794.55"
Department of Health,NHS Brent CCG,31/10/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286716,-177.06
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286716,"-2,732.57"
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286716,"-2,858.06"
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286716,"-6,378.75"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286717,"37,784.75"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286717,"5,272.92"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286717,"1,350.30"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286717,"10,812.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286717,"8,829.17"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286717,"1,226.71"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,34286717,"3,025.86"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HILLTOP MEDICAL PRACTICE,34286719,74.66
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HILLTOP MEDICAL PRACTICE,34286719,"32,219.23"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HILLTOP MEDICAL PRACTICE,34286719,"1,146.54"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HILLTOP MEDICAL PRACTICE,34286719,16.12
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HILLTOP MEDICAL PRACTICE,34286719,"2,077.46"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HAZELDENE MEDICAL CENTRE,34286721,133.39
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,34286721,"146,045.39"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,34286721,"3,817.24"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,34286721,"7,537.51"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,34286721,"11,141.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,34286721,"3,615.89"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,34286721,73.7
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,34286721,"8,014.77"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,34286723,"35,026.95"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,34286723,"1,230.46"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,34286723,"5,712.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,34286723,892.71
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,34286723,"1,994.10"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,34286725,"48,093.76"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,34286725,"1,841.04"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,34286725,"9,436.09"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,34286725,"11,401.34"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,34286725,"4,452.80"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRAMPTON HEALTH CENTRE,34286727,93.54
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,34286727,"36,738.32"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,34286727,"1,311.26"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,34286727,"2,445.83"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,34286727,16.12
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,34286727,"2,678.60"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286728,"-2,693.52"
Department of Health,NHS Brent CCG,31/10/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286728,"-15,363.65"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286728,"-2,277.50"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286728,"-2,324.77"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286728,"-13,904.16"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHALKHILL FAMILY PRACTICE,34286729,244.07
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286729,"48,888.69"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286729,"1,813.88"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286729,39.15
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34286729,"4,251.28"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,34286731,"64,255.98"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,34286731,"2,386.58"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,34286731,"4,500.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,34286731,"4,617.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,34286731,"4,118.55"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,34286733,"42,558.08"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,34286733,"1,532.26"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,34286733,"1,025.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,34286733,989.19
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,34286733,131.81
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,34286733,"3,118.16"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,551.84
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,"83,118.11"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,"3,120.16"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,"4,039.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,"9,191.66"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,"1,884.25"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,128.5
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,126.66
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,34286735,"7,676.62"
Department of Health,NHS Brent CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),34286737,"78,752.38"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),34286737,"2,434.62"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),34286737,"4,387.80"
Department of Health,NHS Brent CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),34286739,"74,208.26"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),34286739,489.61
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),34286739,"2,401.24"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),34286739,188.84
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),34286739,"4,964.54"
Department of Health,NHS Brent CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),34286741,"101,337.53"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),34286741,"3,072.46"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),34286741,"4,583.28"
Department of Health,NHS Brent CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,"71,241.32"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PARK ROYAL MEDICAL PRACTICE,34286743,40.15
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,"2,273.68"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,29.94
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,"4,645.40"
Department of Health,NHS Brent CCG,31/10/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,"12,666.12"
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,"5,404.45"
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,"5,756.75"
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34286743,"11,891.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MAPESBURY MEDICAL GROUP,34286745,218.54
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,34286745,"68,343.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,34286745,"2,572.36"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,34286745,"7,013.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,34286745,"2,030.31"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,34286745,57.57
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,34286745,"5,175.69"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,34290856,"28,528.56"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,34290856,"1,117.24"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,34290856,881.25
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,34290856,"6,135.42"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,34290856,982.44
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,34290856,"2,593.17"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FREUCHEN MEDICAL CENTRE,34290858,45.28
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,34290858,"72,278.41"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,34290858,"1,931.76"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,34290858,"4,483.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,34290858,"4,470.83"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,34290858,6.91
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,34290858,"3,689.99"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,STAG LANE MEDICAL CENTRE,34290860,980.38
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,STAG LANE MEDICAL CENTRE,34290860,"33,842.18"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STAG LANE MEDICAL CENTRE,34290860,"1,285.12"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,STAG LANE MEDICAL CENTRE,34290860,138.18
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,STAG LANE MEDICAL CENTRE,34290860,"4,259.65"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BMI HEALTHCARE LTD,34300403,"29,480.65"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BMI HEALTHCARE LTD,34300442,"-49,224.52"
Department of Health,NHS Brent CCG,31/10/2020,External Consultancy Fees,COMMUNITY SERVICES,HAZELDENE MEDICAL CENTRE,34300480,"30,000.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,34311293,"30,911.73"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,34311293,"1,156.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,34311293,"1,126.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,34311293,611.04
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,34311293,"5,424.80"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,34311293,"1,736.10"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,34311293,"2,302.12"
Department of Health,NHS Brent CCG,31/10/2020,Computer Hardware Purch,IM&T,DELL CORPORATION LTD,34336584,"22,590.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,34340710,"25,295.41"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,34340715,"26,769.10"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34340716,"32,155.66"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,LONG TERM CONDITIONS,KILBURN PBC CLUSTER,34354039,"25,000.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,K&W HEALTHCARE LTD,34354052,"46,203.37"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,GLOBAL DIAGNOSTICS LTD,34354058,"69,815.99"
Department of Health,NHS Brent CCG,31/10/2020,NHS Recbles <1Yr-Recharges Out,BALANCE SHEET,BYTES SOFTWARE SERVICES LTD,34371386,"396,951.19"
Department of Health,NHS Brent CCG,31/10/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,AVERY HOMES (NELSON) LTD,34394927,254.43
Department of Health,NHS Brent CCG,31/10/2020,Cont Care-Funded Nursing Care Allow,GENERAL RESERVE - PROGRAMME,AVERY HOMES (NELSON) LTD,34394927,"45,323.15"
Department of Health,NHS Brent CCG,31/10/2020,Training Expenses,PROGRAMME PROJECTS,HAZELDENE MEDICAL CENTRE,34394948,"30,000.00"
