Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:42232) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,33.25
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42232) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,40.2
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51862) Physiotherapists,(id:42230) Integrated Therapies and Medicine,PRICEWATERHOUSECOOPERS LLP,id:13047754    ,968.76
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42240) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13040917  ,3.6
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51462) Occupational Therapists,(id:42240) Integrated Therapies and Medicine,PRICEWATERHOUSECOOPERS LLP,id:13047774  ,3112.02
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:42239) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217    ,361.14
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:42239) Integrated Therapies and Medicine,PROMEDICS ORTHOPAEDICS LTD,id:12962477 ,670.92
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42239) Integrated Therapies and Medicine,PERFORMANCE HEALTH INTERNATIONAL LTD (PATTERSON),id:13004020 ,414.6
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42239) Integrated Therapies and Medicine,PERFORMANCE HEALTH INTERNATIONAL LTD (PATTERSON),id:12913985 ,200.66
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:590530) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,2.87
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590530) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,144.75
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(84200) Rental under Operating Lease,(id:590490) Integrated Therapies and Medicine,MARSH LTD,id:13014517   ,6726.15
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42243) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13041994  ,3.6
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83610) IT Costs,(id:590500) Integrated Therapies and Medicine,CBC COMPUTER SYSTEMS LTD,id:12998938   ,876
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(55052) Admin & Clerical,(id:590500) Integrated Therapies and Medicine,PARITY PROFESSIONALS LIMITED,id:13009578 ,602.28
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:12984320 ,2991.6
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:13007442 ,1161.62
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:13007546 ,1376.4
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:13007562 ,4428
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:13007564 ,7352.4
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81000) Surgical Appliances,(id:590498) Integrated Therapies and Medicine,KENWARD ORTHOPAEDIC LTD,id:12996338   ,21437.89
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590496) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217,67.2
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590496) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,67.37
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:590496) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,3.1
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(84520) Establishment,(id:590496) Integrated Therapies and Medicine,PITNEY BOWES LTD,id:13009974 ,741.73
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:590496) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,9.96
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,489.37
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,343.71
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,106.56
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194,74.48
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83500) Furniture & Fittings,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,1328.64
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,52.91
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,98.65
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81275) Medical Surgical Supplies & Equipment,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,123.74
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,326.05
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,2509.99
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13045557 ,613.42
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13043842 ,722.78
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13001030,223.48
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13052163 ,730.22
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13031200,255
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13031198,1039.66
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,825.6
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,624.54
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837,189.98
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82700) Uniforms & Clothing,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,110.01
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,195.78
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,278.36
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:41860) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13017921   ,609.5
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:41860) Integrated Therapies and Medicine,CONTINENTAL NURSE LTD,id:13017931  ,2393.59
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41860) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13007465   ,609.5
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41860) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13006141   ,654.47
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41860) Integrated Therapies and Medicine,FISHER & PAYKEL HEALTHCARE LTD,id:13043974    ,2358
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,1139.96
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82700) Uniforms & Clothing,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,191.9
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,191.26
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50522) Unqualified Nursing Staff,(id:41859) Integrated Therapies and Medicine,GENEVA HEALTH INTERNATIONAL LIMITED,id:13032621 ,903.36
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,1562.82
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,15.71
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,15.72
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,5.42
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,86.75
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,51.65
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,104.27
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,641.65
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41858) Integrated Therapies and Medicine,HAYS HEALTHCARE LTD,id:13006226    ,447.31
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,734.27
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,9.3
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:860419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936,263.74
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50532) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13006054   ,219.26
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50532) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13052179   ,220.28
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,CONTINENTAL NURSE LTD,id:13043803  ,1780.13
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,CONTINENTAL NURSE LTD,id:13001020  ,2332.64
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13001051  ,741.41
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13006200,405.15
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13052047,598.34
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13052146  ,607.17
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13053522  ,349.82
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13006222   ,249.43
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50522) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13052074,434.94
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043522   ,273.17
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:41870) Integrated Therapies and Medicine,MSI GROUP LTD,id:13018005,734.81
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41870) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13001045  ,347.94
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83350) Premises Services,(id:41870) Integrated Therapies and Medicine,CORPS SECURITY,id:13030756,10997.76
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,29.74
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12994678,121.39
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,175.01
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,44.21
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12980910    ,1057.39
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837 ,2006.2
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12991770    ,862.54
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13026536    ,2102.01
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,78.4
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12991770  ,44.38
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81100) Dressings,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12996838  ,6.92
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:41869) Integrated Therapies and Medicine,RICOH UK LTD,id:13037483   ,860.62
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837 ,3.24
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,0.6
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50202) Consultants,(id:41869) Integrated Therapies and Medicine,LAMBETH PRACTICES LTD,id:13033157    ,44623.48
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83640) IT Costs,(id:41869) Integrated Therapies and Medicine,VIAPATH SERVICES LLP,id:12723859   ,4815.67
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83640) IT Costs,(id:41869) Integrated Therapies and Medicine,VIAPATH SERVICES LLP,id:12022512   ,4815.67
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,38.85
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13021145    ,9.65
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13026536    ,28.94
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13024496    ,53.06
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13001275    ,28.94
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,89.08
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,9.84
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,214.3
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82600) Uniforms & Clothing,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,615.99
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217    ,806.76
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,17.92
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(89595) Non-Healthcare from Foundation Trusts,(id:41868) Integrated Therapies and Medicine,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,id:13005854   ,13685
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41882) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,9.13
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82600) Uniforms & Clothing,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,320.33
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82700) Uniforms & Clothing,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,78.71
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,523.96
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,65.92
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:41880) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13040917  ,87.8
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(84500) Establishment,(id:41880) Integrated Therapies and Medicine,WYBONE LTD,id:13030453   ,524.09
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837 ,634.87
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,1144.05
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41880) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043605   ,240.07
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41880) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043531   ,267.45
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,8.27
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,82.12
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81275) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,14.14
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,MSI GROUP LTD,id:13006196   ,209.59
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50522) Unqualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13053557 ,828.05
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13045561 ,798.69
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,102.51
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,87.29
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:41878) Integrated Therapies and Medicine,CONTINENTAL NURSE LTD,id:13018002  ,2065.64
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,1888.12
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,1417.11
