Department,CCG,Date,Expense Area,Expense Type,Suppklier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WAPPING HEALTH CENTRE,33956437,"77,563.12"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,"82,689.69"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"82,783.19"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"84,341.87"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33975293,"86,750.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Miscellaneous Expenditure (L9),PROGRAMME PROJECTS,NHS NEL CSU,33801758,"90,836.54"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718288,"90,875.91"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"93,187.68"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,33956426,"98,215.30"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"98,606.04"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956409,"103,100.30"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST STEPHENS HEALTH CENTRE LONDON,33956433,"107,380.05"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,"108,545.43"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718283,"109,323.72"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33818090,"110,173.13"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,33877511,"113,039.04"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,"114,166.65"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718296,"116,463.31"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33975293,"120,745.82"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,"127,288.28"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,"127,702.50"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,33818079,"129,388.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,BARKANTINE PRACTICE,33801815,"134,758.78"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33853328,"153,086.04"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Income tax <1Yr,BALANCE SHEET,HMRC,33877511,"166,294.09"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Independent Sector,PROGRAMME PROJECTS,LEARNING HEALTH SOLUTIONS LTD,33400998,"170,000.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Independent Sector,PROGRAMME PROJECTS,LEARNING HEALTH SOLUTIONS LTD,33747492,"170,000.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Programme Support Costs,PROGRAMME PROJECTS,CITY & HACKNEY GP CONFEDERATION,33748463,"196,000.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,"221,318.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718284,"227,314.69"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,33878610,"387,056.95"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718297,"426,257.76"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33878565,"434,970.92"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,33878500,"501,450.19"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33878509,"545,118.50"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33878549,"1,222,556.12"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Voluntary Sector,LOCAL ENHANCED SERVICES,TOWER HAMLETS GP CARE GROUP,33718325,"1,443,635.38"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,EAST LONDON NHS FOUNDATION TRUST,33878479,"5,790,321.86"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33878458,"16,370,920.85"
