Department family,Entity,Date,Expense Type,Expense area,,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",,EAST ONE HEALTH,32692532,121187
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Independent Sector,,,LOOK AHEAD CARE & SUPPORT LTD,32647791,"125,624.78"
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,XX PLACE,32838009,127794.06
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",,ST ANDREWS HEALTH CENTRE,32674111,129388
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Independent Sector,,,LOOK AHEAD CARE & SUPPORT LTD,32647794,"148,096.63"
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Income tax <1Yr,BALANCE SHEET,,HMRC,32769435,167000.88
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,221318
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Baseline,ACUTE COMMISSIONING,,FOUNDATION TRUST,32654120,387056.95
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec Fdtn Trust-Contract 
Baseline",ACUTE COMMISSIONING,,"GUYS & ST THOMAS HOSPITAL NHS FOUNDATION 
TRUST",32654067,501450.19
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec Fdtn Trust-Contract 
Baseline",ACUTE COMMISSIONING,,"HOMERTON UNIVERSITY HOSPITAL NHS 
FOUNDATION TRUST",32654070,545118.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",AMBULANCE SERVICES,,LONDON AMBULANCE SERVICE NHS TRUST,32654088,1222556.12
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec Fdtn Trust-Contract 
Baseline",MENTAL HEALTH CONTRACTS,,EAST LONDON NHS FOUNDATION TRUST,32654060,5790321.86
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",ACUTE COMMISSIONING,,BARTS HEALTH NHS TRUST,32654051,16370920.85
