Dept Family,Organisation Name,Accounting Year,Period,Dater,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1486204,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"55,727.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1486379,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,714.45"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1487239,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1487520,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"37,176.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1487700,Keystream Healthcare Resources Ltd,105919025,Tw:Information Man And Tech,Other Non-Clinical Supplies,"102,365.04"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1487701,Keystream Healthcare Resources Ltd,105919025,Tw:Information Man And Tech,Other Non-Clinical Supplies,"45,281.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1488662,Haverstock Healthcare Ltd,215028936,Bh:A&E Med Staff,Agency Other Medical,"82,617.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1488797,Haverstock Healthcare Ltd,215028936,Rf:Diabetic Team,Healthcare Commercial Sector,"85,396.58"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1488995,Logan Construction (Se) Ltd,674915890,Rf:Ircu Enabling Works,Building Contracts,"215,340.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1489006,Darwin Group Limited,907075331,Bh:Modular Ward,Building Contracts,"238,100.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1490735,Healthnet Homecare (Uk) Ltd,9279257756,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,292.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1490753,Childcare Vouchers Ltd,649503520,Tw:Balance Sheet,Creditors-S&W-Jury Service,"29,670.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1492795,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-52,715.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1493228,Earnd (Uk) Ltd,207066725,Tw:Balance Sheet,Greensill Deductions,"29,270.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,18573,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"30,444.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,18784,Alcura Uk Ltd,603992727,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"48,883.82"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,18864,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"35,434.61"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,18865,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"32,874.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,18933,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"27,001.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,3339,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"117,967.37"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,3340,Althea Uk And Ireland Ltd,191726588,Tw:Ebme,Msse Maintenance Contracts,"43,745.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,3504,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"321,515.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,3505,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"119,558.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,3508,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"64,749.74"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,3509,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"66,291.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,17/08/2020,1487783,Hsl (Fm) Llp,204055358,Tw:Accounts Payable,Pathology Tests Joint Venture,"1,341,764.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,17/08/2020,1488744,Hsl (Fm) Llp,204055358,Tw:Accounts Payable,Pathology Tests Joint Venture,"-1,341,764.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,19/08/2020,1496729,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors - Income Tax,"7,247,233.91"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,19/08/2020,1496736,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ees,"3,337,012.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,19/08/2020,1496737,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ers,"4,542,041.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,19/08/2020,3690,Hmrc Cumbernauld,,Tw:Balance Sheet-Property Serv,Creditors - Income Tax,"33,355.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1307348,University College London,524371168,Tw:Accounts Payable,Blood Products,"27,136.89"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1412946,Cerner Limited,779047193,Tw:Patient Systems,Other Non-Clinical Supplies,"391,680.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1440282,Abm Aviation (Uk) Limited,325097895,Rf:Rfh Facilities Management,Other Non-Clinical Services,"156,652.21"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1452837,Bender Uk Ltd,686420026,Rf:Corona Virus 11south Works,Engineering Equip & Materials,"71,118.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1458320,Static Systems Group Plc,,Rf:Corona Virus 11south Works,Engineering Equip & Materials,"26,334.46"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1458518,Bender Uk Ltd,686420026,Rf:Corona Virus 11south Works,Engineering Equip & Materials,"102,072.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1463991,Covac Ltd,670635334,Rf:Mechanical Projects-Backlog,Estates Services Contracts,"69,264.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1469351,Supply Chain Coordination Ltd (Maintenance),290885854,Bh:Radiology,Msse Maintenance Contracts,"30,779.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1469582,Radiometer Ltd,182817879,Rf:Covoid19 Equipments,Med&Surg Equipment,"29,880.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1469693,Lip Medical Ltd,101871054,Rf:Covid 19 2na Icu Surge,Engineering Equip & Materials,"46,890.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1470050,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Outpatients - Slr,"52,848.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1477239,University College London,524371168,Tw:Accounts Payable,Blood Products,"-27,136.89"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1477285,D&L Medical Limited,635851326,Rf:Covid 19 2na Icu Surge,Engineering Equip & Materials,"43,890.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1481613,Cfes Limited,876320218,Tw:Covid-19 Stp,Other Non-Clinical Supplies,"92,185.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1481652,Lawmed Ltd,766027227,Rf:The Airseal-Ulpa Units,Med&Surg Equipment,"46,308.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1484322,Insight Direct (Uk) Ltd,,Tw:Stp Cyber Funding,Other Non-Clinical Supplies,"33,303.31"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1484879,Notting Hill Genesis,577334122,Rf:Princess Christian House,Other Non-Clinical Supplies,"56,801.41"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1484896,Nes Holdings (Uk) Ltd,688377859,Ch:Wellington Ward,Healthcare Commercial Sector,"35,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1485012,Ernst & Young Llp,773831408,Tw:Financial Director,Consultancy Fees,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1485308,Martech Technical Services Ltd,881307326,Rf:Int Building Fabric-Backlog,Building Contracts,"37,352.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1485336,Bytes Software Services Ltd,823818226,Tw:Information Man And Tech,Other Non-Clinical Supplies,"78,502.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1486066,Medtronic Ltd,467254526,Rf:Gastroenterology,Healthcare Commercial Sector,"25,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1486067,Medtronic Ltd,467254526,Rf:Gastroenterology,Healthcare Commercial Sector,"25,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1486131,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"91,699.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1486133,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"194,998.62"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1487519,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"34,451.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1487868,Elis Uk Ltd,226516179,Rf:Rfh Facilities Contract,Contract Laundry,"85,899.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1488444,Utilyx Healthcare Energy Services Ltd (Ancil),,Rf:Energy,Rentals Operating Leases,"93,496.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1488796,Haverstock Healthcare Ltd,215028936,Rf:A & E Nursing,Services Ccgs Clinical,"75,021.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1488950,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Energy,Energy Management Contracts,"150,979.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1488979,Dictate It,835575990,Tw:Patient Systems,It Software,"37,187.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1488981,Dictate It,835575990,Tw:Patient Systems,It Software,"94,669.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1489610,Bevan Brittan Llp,840723148,Tw:Clinical Risk + Safety,Legal Costs,"48,150.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1489682,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,971.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1489703,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,975.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1489704,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,118.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1489705,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,118.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1490340,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"33,877.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1490666,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,165.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1491762,Bayer Plc,641958611,Tw:Balance Sheet,Pharmacy Issues & Receipts,"45,622.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1492124,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"50,054.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1492125,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"37,176.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1492126,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,544.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1492140,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"115,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1492171,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,560.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1493117,Radiology Reporting Online Llp,134072836,Bh:Radiology,Healthcare Commercial Sector,"65,944.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1493123,Ecourier,577249206,Rf:Rfh Transport,Transport-Equipment/Materials,"67,224.37"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1494790,Amgen Limited,538389011,Tw:Balance Sheet,Pharmacy Issues & Receipts,"28,539.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1494793,Amgen Limited,538389011,Tw:Balance Sheet,Pharmacy Issues & Receipts,"41,859.18"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1495905,Nhs Blood And Transplant,654961603,Bh:Blood Tran,Blood Products,"70,992.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1495908,Nhs Blood And Transplant,654961603,Rf:Haematology Labs,Blood Products,"168,943.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1495911,Kpmg Llp,791788859,Tw:Financial Director,Audit Fees - External,"33,279.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,1496687,Cec Healthcare Coding Ltd,215249033,Tw:Clinical Coding,It Service Contracts,"59,871.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,18575,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"43,572.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,3348,Imtech Low Carbon Solutions Ltd,263126326,Tw:Energy & Utilities,Msse Maintenance Contracts,"46,818.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,21/08/2020,3706,Universal Sealants (Uk) Ltd,353895222,Ch:Mscp Refurbishment,Ic Building Contracts,"320,601.10"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3769,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"-321,515.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3800,Cbre Managed Services Ltd,853936883,Tw:Estates Maintenance,Msse Maintenance Contracts,"-55,694.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3809,Universal Sealants (Uk) Ltd,353895222,Ch:Mscp Refurbishment,Ic Building Contracts,"-223,452.94"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3810,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"321,515.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3841,Cbre Managed Services Ltd,853936883,Tw:Estates Maintenance,Msse Maintenance Contracts,"55,694.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3850,Universal Sealants (Uk) Ltd,353895222,Ch:Mscp Refurbishment,Ic Building Contracts,"223,452.94"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3861,Imtech Low Carbon Solutions Ltd,263126326,Tw:Energy & Utilities,Msse Maintenance Contracts,"-46,818.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3872,Imtech Low Carbon Solutions Ltd,263126326,Tw:Energy & Utilities,Msse Maintenance Contracts,"46,818.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3883,Currie & Brown Uk Limited,737655010,Tw:Whht Consultancy,Consultancy Fees,"-26,110.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,25/08/2020,3896,Currie & Brown Uk Limited,737655010,Tw:Whht Consultancy,Consultancy Fees,"26,110.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1352286,London Dermatologist Ltd,,Rf:Dermatology,Agency Other Medical,"52,650.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1352300,London Dermatologist Ltd,,Rf:Dermatology,Agency Other Medical,"43,740.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1352303,London Dermatologist Ltd,,Rf:Dermatology,Agency Other Medical,"65,070.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1431978,Cerner Limited,779047193,Tw:Patient Systems,Other Non-Clinical Supplies,"308,068.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1436679,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"27,452.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1436680,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"60,649.94"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1440253,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Mls Contract,"43,200.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1452815,Cerner Limited,779047193,Tw:Patient Systems,Other Non-Clinical Supplies,"425,408.95"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1452817,Cerner Limited,779047193,Tw:Patient Systems,Other Non-Clinical Supplies,"50,441.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1452908,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"44,466.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1474052,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"48,210.47"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1481547,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"194,325.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1487714,Ash Corporate Finance (Hampstead) Ltd,820733844,Tw:Balance Sheet,Finance Lease Obligation,"372,745.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1489005,Community Matters Ltd,195159769,Tw:Nurs & Midwifery Education,Courses & Conferences,"84,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1489501,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"118,935.15"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1489503,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"116,594.54"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1491512,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"57,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1491583,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"51,758.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1491584,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"48,523.68"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1493469,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"-62,162.46"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1493471,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"-198,734.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1494487,Csl Behring,583602338,Tw:Balance Sheet,Pharmacy Issues & Receipts,"189,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1494532,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"49,375.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1494565,Octapharma Limited,585216330,Tw:Balance Sheet,Pharmacy Issues & Receipts,"72,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1496547,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"928,470.78"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1498013,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,975.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1498850,Biotest Uk Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,975.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1498916,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"166,776.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,1499174,Amgen Limited,538389011,Tw:Balance Sheet,Pharmacy Issues & Receipts,"29,282.84"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,18871,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"41,713.44"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,19012,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"30,763.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,19022,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"32,156.93"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/09/2020,3510,Althea Uk And Ireland Ltd,191726588,Tw:Ebme,Msse Maintenance Contracts,"43,745.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,02/09/2020,18279,Alloga Uk,684090520,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"55,083.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,02/09/2020,18281,Alloga Uk,684090520,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"66,099.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,02/09/2020,18289,Alloga Uk,684090520,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"44,066.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1469717,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"33,561.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1469718,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"33,561.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1469723,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"33,561.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1479927,Rfl Property Services Limited,,Rf:Ih Catering Patients,Ic Ih Catering Patients,"72,480.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1490755,Interserve Catering Services Ltd,576994073,Rf:Pp Hotel Services,Contract Catering,"77,106.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1491254,Arjo Uk Ltd,382474630,Rf:Beds And Mattresses Ref No,Med&Surg Equipment,"50,328.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1494190,Supply Chain Coordination Ltd (Maintenance),290885854,Ch:Medical - Radiology,Radiology Maint Contracts,"43,856.06"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1494401,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"64,698.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1495146,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,888.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1495602,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"29,107.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1495690,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,714.45"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1495994,Dell Corporation Ltd,635823528,Tw:Information Man And Tech,Other Non-Clinical Supplies,"27,997.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1497080,Ellis Building Services Ltd,259448855,Rf:Mechanical Projects-Backlog,Building Equipment & Materials,"56,608.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1498895,Gilead Sciences Ltd,792402037,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,449.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,04/09/2020,1499034,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"120,360.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,11/09/2020,1499030,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"48,494.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,01/09/2020,1478044,Gazprom Energy,927405129,Rf:Energy,Gas,"95,187.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,01/09/2020,1500104,Epoch Trading Ltd,8227746,Rf:Covid-19 (Surge),Staff Clothing,"40,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,01/09/2020,1500278,Philips Respironics Uk Ltd,407850060,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,"31,863.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,02/09/2020,1497293,Rfl Property Services Limited,,Rf:Ih Catering Restaurant,Ic Ih Catering Retail,"266,535.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1431402,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"1,341,764.90"
