Dept Family,Organisation Name,Accounting Year,Period,Date,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1249436,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"101,584.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1249437,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"101,584.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1249438,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"101,584.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1249439,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"101,584.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1391286,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Ch:Enfield Communi Paediatrics,Services Other Nhs Clinical,"26,568.29"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1413063,Iss Mediclean Ltd,417115775,Tw:Nightingale Ward (Excel),Building Contracts,"1,010,562.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1419034,Armstrong Medical Ltd,432578934,Rf:Covoid19 Equipments,Med&Surg Equipment,"71,520.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1419804,Nhs Blood And Transplant,654961603,Rf:Haematology Labs,Blood Products,"168,943.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1419819,Armstrong Medical Ltd,432578934,Rf:Covoid19 Equipments,Med&Surg Equipment,"62,580.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1421412,Octapharma Limited,585216330,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,480.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1427042,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1427534,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet,Pharmacy Issues & Receipts,"52,747.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1427804,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,975.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1427805,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"35,935.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,563258,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Tw:Trust Board,Services Other Nhs Clinical,"50,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,669917,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Tw:Trust Board,Services Other Nhs Clinical,"50,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,939820,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Tw:Trust Board,Services Other Nhs Clinical,"50,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,12/05/2020,1275335,Bt Global Services,,Ch:Main Centre  Chase Farm,It Equipment,"57,212.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,12/05/2020,1411846,Bt Global Services,,Ch:Main Centre  Chase Farm,It Equipment,"-57,212.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,13/05/2020,1140491,Becton Dickinson Uk Ltd,718053936,Rf:Cellular Lab (Ccgtt),Msse Maintenance Contracts,"47,585.44"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,13/05/2020,1362431,Becton Dickinson Uk Ltd,718053936,Rf:Cellular Lab (Ccgtt),Msse Maintenance Contracts,"-47,585.44"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1043854,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1101433,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1109815,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1283774,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1344758,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"33,561.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362519,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362528,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362531,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362537,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362546,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362558,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362559,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1362561,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1374090,Uclh Nhs Foundation Trust,654948687,Bh:Haematology Barnet,Services Nhs Fts Clinical,"34,125.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1392615,Uclh Nhs Foundation Trust,654948687,Bh:Haematology Barnet,Services Nhs Fts Clinical,"-34,125.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1420907,Murphy Philipps Associates Llp,121085946,Bh:Utc/Amu,Architects Fees,"26,879.99"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1423740,Grahame Gardner Ltd,705352753,Rf:Rfh Facilities Management,Staff Clothing,"49,878.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1423876,Fujifilm Sonosite Ltd,842290534,Rf:Theatres Poc Ultrasound 315,Med&Surg Equipment,"48,481.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1425477,Dell Corporation Ltd,635823528,Tw:Information Man And Tech,Other Non-Clinical Supplies,"37,750.08"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1425580,Insight Direct (Uk) Ltd,,Tw:Clinical Coding,Other Non-Clinical Supplies,"31,518.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,1426934,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"41,074.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,948041,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,965575,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,15/05/2020,990277,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"35,536.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/06/2020,13556,Alloga Uk,684090520,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"33,049.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1043020,Depuy Synthes Ltd,592926302,Ch:T&O Medical,Orthopeadics Implants - Other,"25,271.29"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1224535,Wellsky International Ltd,220277889,Rf:Pharmacy - Patients Serv.S,It Maintenance,"65,106.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1386688,Dell Corporation Ltd,635823528,Rf:19-20 Pc'S Infrastructure,Other Non-Clinical Supplies,"40,728.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1386814,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-217,773.68"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1391342,Edwards Lifesciences Ltd,724574035,Rf:Cardiac Monitor Ref No 296,Med&Surg Equipment,"90,504.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1403709,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"140,748.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1403713,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"163,345.54"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1403765,Societe Generale Equipment Finance Ltd,629280722,Tw:Information Man And Tech,Other Non-Clinical Supplies,"26,193.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1405862,Edwards Lifesciences Ltd,724574035,Rf:Covoid19 Equipments,Med&Surg Equipment,"100,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1405863,Edwards Lifesciences Ltd,724574035,Rf:Covoid19 Equipments,Med&Surg Equipment,"126,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1405864,Edwards Lifesciences Ltd,724574035,Rf:Covoid19 Equipments,Med&Surg Equipment,"100,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1405865,Edwards Lifesciences Ltd,724574035,Rf:Covoid19 Equipments,Med&Surg Equipment,"86,076.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1407032,W  & I Craig (Civil Engineering) Ltd,220702418,Rf:Ext Building Fabric-Backlog,Bld Mnt-Ext Repairs,"83,468.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1407618,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"946,000.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1408210,University College London,524371168,Rf:Amyloidosis,Healthcare Non-Nhs Statutory,"345,759.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1408232,Quadient Uk Ltd,597265489,Rf:Rfh Post Room,Office Equipment,"28,351.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1413021,Bunzl Healthcare,286014266,Bh:Covid-19,Med&Surg Equipment Disposable,"26,619.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1414631,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"102,903.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1417173,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"132,125.69"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1419026,Caremed Alrick Healthcare,884657370,Rf:Covoid19 Equipments,Med&Surg Equipment,"125,974.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1419748,Sharpsmart Ltd,801449649,Tw:Nightingale Ward (Excel),Engineering Contracts,"31,485.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1420116,Sharpsmart Ltd,801449649,Rf:Waste Management,Refuse Collection-General,"255,905.62"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1420133,Societe Generale Equipment Finance Ltd,629280722,Tw:Information Man And Tech,Other Non-Clinical Supplies,"26,193.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1420190,Canon (Uk) Ltd,,Tw:Information Man And Tech,Other Non-Clinical Supplies,"221,648.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1420760,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"823,460.83"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1420805,Mts Health Limited,160408 27,Tw:Nightingale Ward (Excel),Building Contracts,"53,684.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1423708,Bevan Brittan Llp,840723148,Tw:Clinical Risk + Safety,Legal Costs,"57,089.74"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1429231,W  & I Craig (Civil Engineering) Ltd,220702418,Rf:Ext Building Fabric-Backlog,Bld Mnt-Ext Repairs,"-83,468.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1429346,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,118.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1429347,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,975.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1429348,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"35,935.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1429494,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"44,372.10"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1429935,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"26,653.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1429978,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"70,125.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1430270,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,682.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1430542,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,841.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1430642,Depuy Synthes Ltd,592926302,Ch:T&O Medical,Orthopeadics Implants - Other,"-25,271.29"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1431344,W  & I Craig (Civil Engineering) Ltd,220702418,Rf:Corona Virus Assessment Pod,Building Contracts,"65,020.37"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1431479,Cerner Limited,779047193,Rf:19-20 In+T Gde,Other Non-Clinical Supplies,"528,984.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1431481,Cerner Limited,779047193,Rf:19-20 In+T Gde,Other Non-Clinical Supplies,"528,984.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1431482,Cerner Limited,779047193,Rf:19-20 In+T Gde,Other Non-Clinical Supplies,"661,230.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,14317,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"29,286.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1431736,Nissan Motor Manufacturing (Uk) Ltd,386354325,Rf:Covid-19 (Patient Testing),Staff Clothing,"27,360.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1431883,W  & I Craig (Civil Engineering) Ltd,220702418,Rf:Corona Virus Assessment Pod,Building Contracts,"55,731.74"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,1431939,Canon (Uk) Ltd,,Tw:Information Man And Tech,Other Non-Clinical Supplies,"-221,648.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,14327,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"-29,286.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,2102,Cbre Managed Services Ltd,853936883,Tw:Estates Maintenance,Msse Maintenance Contracts,"55,694.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,01/05/2020,2106,Integrated Health Projects,830007284,Tw:Chase Farm Construction,Ic Building Contracts,"65,790.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1329856,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Msse Maintenance Repairs,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1344449,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Ch:Enfield Communi Paediatrics,Services Other Nhs Clinical,"26,568.29"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1392713,Chg Meridian Computer Leasing Uk Ltd,765342323,Rf:Renal Technicians,Msse Lease Charges,"33,863.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1398132,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Services Whitnhst Clinical,"-51,387.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1398136,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Outpatients - Slr,"50,128.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1406656,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Services Nhsts Clinical,"51,387.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1407718,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"1,802,986.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1408188,Logan Construction (Se) Ltd,674915890,Rf:Ward Refurbishment,Building Contracts,"211,578.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1408202,Specialist Computer Centres Plc,313651680,Tw:Information Management,It Service Contracts,"32,398.03"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1411815,The Renal Registry,726663123,Rf:Renal Dialysis,Other Non-Clinical Services,"72,380.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1412142,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"1,802,986.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1412196,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"983,751.79"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1412253,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-1,802,986.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1412254,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"2,225,890.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1414715,Alpine Works Limited,839246696,Rf:Corona Virus 11south Works,Electrical Engineers Fees,"51,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1415938,Dictate It,835575990,Tw:Patient Systems,Office Equipment,"98,464.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1415954,Notting Hill Genesis,577334122,Rf:Princess Christian House,Other Non-Clinical Supplies,"32,702.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1415977,Keystream Healthcare Resources Ltd,105919025,Rf:Epr2 (Royal Free),Other Non-Clinical Supplies,"74,802.82"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1416068,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Outpatients - Slr,"49,033.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1416976,Althea Uk And Ireland Ltd,191726588,Tw:Nightingale Ward (Excel),Building Contracts,"158,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1417059,The Richard Stephens Partnership,822082262,Tw:Nightingale Ward (Excel),Engineering Contracts,"159,755.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1417223,Eta Projects Ltd,690506726,Tw:Nightingale Ward (Excel),Building Contracts,"115,870.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1417930,Ecourier,577249206,Rf:Rfh Transport,Transport-Equipment/Materials,"27,956.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1420804,Mts Health Limited,160408 27,Tw:Nightingale Ward (Excel),Building Contracts,"121,587.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1425590,Philips Respironics Uk Ltd,407850060,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,"32,991.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1425603,Philips Respironics Uk Ltd,407850060,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,"32,769.79"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1430674,Canon (Uk) Ltd,,Tw:Information Man And Tech,Other Non-Clinical Supplies,"219,267.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1431665,Ernst & Young Llp,773831408,Tw:Financial Director,Consultancy Fees,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1431823,Cbre Managed Services Ltd,853936883,Ch:Covid-19,Building Contracts,"150,962.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1431842,Abm Aviation (Uk) Limited,325097895,Rf:Covid-19 (Surge),Other Non-Clinical Services,"102,463.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1432077,Supply Chain Coordination Ltd (Capital),290885854,Tw:Ultrasound 16 Nhsi Nhssc,Med&Surg Equipment,"26,507.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1432638,Anetic Aid Ltd,301258992,Rf:Replacement Trolleys Ref331,Med&Surg Equipment,"60,328.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1432652,Nissan Motor Manufacturing (Uk) Ltd,386354325,Rf:Covid-19 (Patient Testing),Staff Clothing,"45,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1433711,Premier Inn Business Account,243292864,Rf:Accommodation-Pay,Patient Hotel Accommodation,"167,001.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1433717,The Richard Stephens Partnership,822082262,Tw:Nightingale Ward (Excel),Architects Fees,"39,719.88"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434108,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434251,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"33,355.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434252,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"71,480.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434374,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"38,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434408,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"72,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434409,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"34,920.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434862,Haverstock Healthcare Ltd,215028936,Bh:A&E Med Staff,Agency Other Medical,"82,617.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434864,British Red Cross,,Rf:Rfh Facilities Management,Other Non-Clinical Services,"69,027.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1434865,Haverstock Healthcare Ltd,215028936,Rf:A & E Nursing,Services Ccgs Clinical,"75,021.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,1436166,Cuffe Plc,,Rf:Fire Code Funding,Building Contracts,"26,874.89"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,07/05/2020,14489,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"43,615.78"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,11/05/2020,2143,Universal Sealants (Uk) Ltd,353895222,Ch:Mscp Refurbishment,Ic Building Contracts,"305,722.39"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,12/05/2020,1432669,Wilson James Ltd,546153938,Tw:Nightingale Ward (Excel),Building Contracts,"550,835.72"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,12/05/2020,1432671,Cfes Limited,876320218,Tw:Nightingale Ward (Excel),Building Contracts,"1,800,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,12/05/2020,1438210,Cfes Limited,876320218,Tw:Nightingale Ward (Excel),Building Contracts,"3,000,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,15/05/2020,1333602,Uclh Nhs Foundation Trust,654948687,Rf:Hpb,Consultant - Recharge In,"49,090.01"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,15/05/2020,1372093,Uclh Nhs Foundation Trust,654948687,Rf:Hepatology,Consultant - Recharge In,"35,750.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,15/05/2020,1373706,Uclh Nhs Foundation Trust,654948687,Rf:Clin. Haematology,Services Nhs Fts Clinical,"64,376.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,15/05/2020,1384463,Fresenius Kabi Ltd,534934726,Rf:Cellular Lab (Ccgtt),Laboratory Equipment,"74,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,15/05/2020,1392616,Uclh Nhs Foundation Trust,654948687,Rf:Clin. Haematology,Services Nhs Fts Clinical,"-64,376.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,2,15/05/2020,1402855,Uclh Nhs Foundation Trust,654948687,Rf:Hpb,Consultant - Recharge In,"38,794.98"
